,title,revenue,user_rating,votes,year,source,genre,director,runtime_in_minutes
329,How the Grinch Stole Christmas! (TV special),,95,100+ Ratings,1966,RT,Holiday,['Chuck Jones'],25
349,Witness for the Prosecution (1957 film),,95,"5,000+ Ratings",1957,RT,Crime,['Billy Wilder'],114
334,Sanjuro,,95,"10,000+ Ratings",1962,RT,Adventure,['Akira Kurosawa'],96
365,Singin' in the Rain,,95,"100,000+ Ratings",1952,RT,Musical,"['Stanley Donen', 'Gene Kelly']",102
114,The Spy Gone North,,94,100+ Ratings,2018,RT,Drama,['Yoon Jong-bin'],141
275,A Brighter Summer Day,23.15,94,"1,000+ Ratings",1991,RT,Drama,['Edward Yang'],240
223,Temple Grandin (film),0.25,94,"5,000+ Ratings",2010,RT,Drama,['Mick Jackson'],110
296,Fanny and Alexander,52.04,94,"10,000+ Ratings",1982,RT,Drama,['Ingmar Bergman'],188
363,Ugetsu,,94,"5,000+ Ratings",1953,RT,Fantasy,['Kenji Mizoguchi'],96
370,Kind Hearts and Coronets,,94,"5,000+ Ratings",1949,RT,Comedy,['Robert Hamer'],104
